公司名称,流动比率,资产负债率,应收账款周转率,总资产周转率,净资产收益率,资产报酬率,净利润增长率,总资产增长率
*ST 川化,0.877726,0.352525,72.452768,0.893837,0.076776,0.065728,-1.556776,0.063125
华数传媒,0.204052,2.626998,26.014463,1.605905,-0.034666,0.156686,-3.589965,-0.424692
中联重科,1.078517,0.768898,3.670948,0.58597,0.298254,0.08279,-0.595071,1.709981
常山股份,1.182076,0.484158,25.245076,0.68986,0.051978,0.041234,8.763765,0.207529
国际实业,1.830062,0.456378,171.743717,0.413188,0.148015,0.087515,-0.735991,0.39808
东方市场,1.692121,0.353383,19.243211,0.213107,0.067668,0.052008,-0.435334,0.212482
潍柴动力,1.192899,0.613005,11.289846,1.131888,0.212936,0.092189,-1.290539,0.305275
许继电气,1.633503,0.50229,1.817731,0.548802,0.043589,0.053514,-0.231873,0.01861
冀东水泥,1.298776,0.504574,35.731129,0.358702,0.0827,0.060655,-0.442962,0.551331
金融街,3.049762,0.461092,9.272425,0.203466,0.070101,0.038597,1.673671,0.760072
ST 生化,0.324242,0.854078,14.470929,0.476468,1.048351,0.192213,-16.26529,-0.267985
华意压缩,1.02816,0.673729,8.54249,1.481396,0.107869,0.065757,-0.433374,-0.137332
胜利股份,1.047335,0.544979,16.09242,0.859426,0.314552,0.166553,0.381401,-0.095707
金谷源,1.074156,0.609795,11.608085,1.286385,-0.410559,-0.119081,17.904053,-0.332439
山东地矿,3.757699,0.189893,0.846026,0.233243,0.051965,0.017711,-7.442482,0.036421
沈阳机床,0.915627,0.851519,5.371662,0.701671,0.030553,0.022564,-1.204752,0.165215
英特集团,1.035128,0.808319,6.304945,2.785438,0.14376,0.055948,-0.186772,0.128196
东旭光电,1.823037,0.347825,2.002281,0.505003,0.01848,0.003251,1.507831,-0.064605
渤海金控,0.914345,0.654681,1.718451,0.217196,-0.236352,-0.063463,-5.116943,-0.080332
民生控股,4.311683,0.194119,1035.452672,0.75135,-0.000435,-0.009986,-3.091393,0.003633
合肥百货,0.949167,0.644616,278.778562,1.509762,0.159095,0.063466,0.483478,0.342073
小天鹅A,1.430607,0.492168,10.15684,1.2856,0.014747,0.012546,-2.991419,-0.117645
通程控股,0.636894,0.609326,260.530386,0.784456,0.053802,0.03031,0.360983,0.203551
吉林化纤,0.503936,0.588252,29.664277,0.75947,-0.38981,-0.133716,0.91597,-0.130427
南京中北,0.891224,0.66825,21.200162,0.591221,0.061285,0.034014,-3.066001,0.034102
湖北宜化,0.542864,0.722692,94.585123,0.630655,0.130081,0.06064,-4.699239,0.286564
东阿阿胶,2.671745,0.234181,15.159994,0.890542,0.204258,0.150534,1.346791,0.178157
徐工机械,1.067582,0.637826,8.001372,0.921934,0.077294,0.031518,-1.061251,0.203416
